Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Potsdam Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	22.97	0.89	0.35	0.0	0.04	0.38	56.79	1.79	0.01	0.37	99.98	0.2	1.07	0.0172	14.09	False	99.17	Perfect
01-Sonnenstand	Potsdam Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.07	0.08	0.18	0.03	0.02	0.29	299.72	60.24	0.02	0.06	100.0	0.14	0.16	0.00083	55.89	False	99.9	Perfect
01-Sonnenstand	Shanghai Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	33.46	0.68	0.4	0.08	0.05	0.51	78.0	1.75	0.24	0.3	99.98	0.23	0.83	0.01393	18.41	False	99.52	Perfect
01-Sonnenstand	Shanghai Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.1	0.15	0.25	0.13	0.07	0.72	291.36	68.67	0.07	0.12	100.0	0.27	0.24	0.00148	61.04	False	99.84	Perfect
01-Sonnenstand	Kaxgar Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	29.48	0.93	0.37	-0.02	0.08	0.53	69.68	1.8	-0.07	0.4	99.97	0.28	1.14	0.02162	16.63	False	99.19	Perfect
01-Sonnenstand	Kaxgar Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.13	0.23	0.21	0.33	0.17	1.05	293.4	66.57	0.18	0.18	100.0	0.41	0.4	0.00259	58.07	False	99.71	Perfect
01-Sonnenstand	Singapur Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	42.87	0.76	0.36	0.01	0.11	0.57	88.39	1.63	0.01	0.38	99.98	0.33	0.82	0.02101	23.0	False	99.45	Perfect
01-Sonnenstand	Singapur Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.09	2.36	0.9	0.3	17.99	118.97	359.42	0.19	0.17	1.19	99.75	4.24	2.74	0.06202	84.33	False	98.27	Perfect
01-Sonnenstand	Lima Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	42.98	0.29	0.33	-0.01	0.02	0.44	89.79	1.77	-0.03	0.14	100.0	0.13	0.33	0.00801	23.48	False	99.81	Perfect
01-Sonnenstand	Lima Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.07	1.97	0.74	-0.09	12.55	139.48	359.84	0.05	-0.05	0.99	99.88	3.54	1.96	0.10327	100.55	False	98.54	Perfect
01-Sonnenstand	Denver Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	29.35	0.97	1.02	-0.05	0.08	0.62	69.41	1.84	-0.18	0.42	99.97	0.29	1.18	0.02306	16.58	False	99.0	Perfect
01-Sonnenstand	Denver Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.14	0.24	0.22	-0.36	0.18	1.08	293.52	66.5	-0.2	0.19	99.99	0.43	0.42	0.00244	57.99	False	99.68	Perfect
01-Sonnenstand	Barrow Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	14.91	1.29	0.97	0.01	0.04	0.38	37.86	1.87	0.08	0.53	99.97	0.19	1.41	0.0281	10.65	False	97.79	Perfect
01-Sonnenstand	Barrow Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.05	0.13	0.08	-0.22	0.06	0.35	338.98	21.35	-0.12	0.07	100.0	0.24	0.26	0.00207	70.75	False	99.76	Perfect
01-Sonnenstand	Melbourne Altitude	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	34.81	0.77	0.41	-0.13	0.07	0.63	75.7	1.56	-0.38	0.36	99.98	0.27	0.83	0.01774	19.34	False	99.39	Perfect
01-Sonnenstand	Melbourne Azimuth	Aixlib	AixLib	0.7.3	Deg	Amin Nouri, RWTH Aachen	0	180.16	5.86	0.55	0.27	111.2	322.0	359.96	0.01	0.15	2.94	99.25	10.54	4.55	0.11113	122.63	False	96.61	Perfect
01-Sonnenstand	Potsdam Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	23.46	2.74	0.48	0.49	0.4	1.01	56.98	2.01	2.15	1.14	99.8	0.63	3.3	0.04939	14.08	False	97.65	Perfect
01-Sonnenstand	Potsdam Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.05	0.18	0.57	0.01	0.11	0.74	299.84	60.15	0.01	0.14	100.0	0.33	0.37	0.00223	56.11	False	99.75	Perfect
01-Sonnenstand	Shanghai Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	33.86	1.8	0.88	0.47	0.36	1.16	78.19	1.87	1.41	0.79	99.89	0.6	2.19	0.03072	18.48	False	98.43	Perfect
